epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1854.31,3.09209,4.96307,3.39754,0.00427,0.35678,0.00616,0.00178,2.64482,3.86849,3.30455,0.00333191,0.00333191,0.00333191
2,3003.89,2.44158,3.52748,2.68127,0.01242,0.72998,0.07484,0.0211,2.26424,3.43948,2.69942,0.00653327,0.00653327,0.00653327
3,4126.53,2.28988,3.33313,2.48959,0.00776,0.66838,0.04519,0.01352,2.30682,3.67936,2.725,0.00960263,0.00960263,0.00960263
4,5543.21,2.23161,3.26295,2.39382,0.02592,0.76181,0.11852,0.03745,2.08776,3.03651,2.49587,0.009406,0.009406,0.009406
5,6844.3,2.17766,3.13926,2.33237,0.0965,0.49538,0.14753,0.05045,2.04595,3.10653,2.38815,0.009208,0.009208,0.009208
6,7966.38,2.11374,3.01089,2.2693,0.08548,0.31879,0.08474,0.02646,2.24515,3.81855,2.66836,0.00901,0.00901,0.00901
7,9097.59,2.07492,2.95391,2.21738,0.19503,0.26283,0.136,0.04606,2.0389,2.93652,2.41236,0.008812,0.008812,0.008812
8,10219,2.02045,2.91286,2.17741,0.23369,0.28747,0.17547,0.06062,2.01938,2.82844,2.36896,0.008614,0.008614,0.008614
9,11335.1,2.03528,2.84211,2.18415,0.28142,0.30595,0.22298,0.07964,2.00387,2.74729,2.34427,0.008416,0.008416,0.008416
10,12461.9,2.01278,2.81428,2.16436,0.24779,0.31468,0.19892,0.07568,1.9855,2.68119,2.30945,0.008218,0.008218,0.008218
11,13592.2,2.01043,2.80027,2.15635,0.29723,0.29004,0.22426,0.08196,1.98192,2.64022,2.27566,0.00802,0.00802,0.00802
12,14745.4,1.99613,2.80054,2.1261,0.29997,0.32754,0.24422,0.09066,1.91869,2.61659,2.22154,0.007822,0.007822,0.007822
13,15919.8,1.98404,2.77123,2.13309,0.28428,0.33663,0.215,0.08099,1.98887,2.66189,2.30454,0.007624,0.007624,0.007624
14,17086.6,1.96631,2.70561,2.12467,0.31996,0.36756,0.27842,0.10698,1.90852,2.57501,2.21896,0.007426,0.007426,0.007426
15,18250.8,1.9587,2.71325,2.11311,0.30749,0.33162,0.23761,0.09041,1.91946,2.62584,2.21651,0.007228,0.007228,0.007228
16,19419.4,1.95623,2.71848,2.09581,0.35383,0.32495,0.2922,0.10748,1.91278,2.51181,2.215,0.00703,0.00703,0.00703
17,1601.17,1.90897,2.69009,2.06856,0.36208,0.34086,0.28109,0.10742,1.9001,2.53568,2.2093,0.006832,0.006832,0.006832
18,3180.9,1.90928,2.6638,2.05849,0.32755,0.36756,0.26794,0.1059,1.90303,2.52817,2.18456,0.006634,0.006634,0.006634
19,4687.18,1.91648,2.64179,2.0608,0.35777,0.33881,0.28391,0.11131,1.87837,2.52823,2.15924,0.006436,0.006436,0.006436
20,6171.9,1.90965,2.65459,2.05882,0.34743,0.34702,0.28191,0.1108,1.88827,2.5067,2.18646,0.006238,0.006238,0.006238
21,7654.96,1.90773,2.66208,2.06279,0.40053,0.3501,0.31154,0.1204,1.87669,2.52863,2.1942,0.00604,0.00604,0.00604
22,9475.62,1.91347,2.57189,2.05369,0.38398,0.35113,0.31396,0.11973,1.88105,2.49209,2.20596,0.005842,0.005842,0.005842
23,11270.8,1.8906,2.60227,2.03033,0.31457,0.36191,0.26913,0.10919,1.87224,2.4901,2.15962,0.005644,0.005644,0.005644
24,12454.2,1.87118,2.59488,2.03055,0.36298,0.34548,0.30185,0.11703,1.88347,2.45836,2.17289,0.005446,0.005446,0.005446
25,13617.6,1.88359,2.54488,2.03312,0.36348,0.36345,0.30696,0.12318,1.87923,2.47482,2.16044,0.005248,0.005248,0.005248
