epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1073.12,3.17778,4.5859,3.59099,0.03225,0.17813,0.01701,0.00398,2.60881,3.76185,3.27291,0.00333048,0.00333048,0.00333048
2,1696.88,2.4796,3.25375,2.79837,0.00794,0.71971,0.02994,0.00833,2.41613,3.52724,2.95346,0.00653187,0.00653187,0.00653187
3,2197.55,2.32121,3.05007,2.58776,0.14597,0.36088,0.12672,0.03946,2.19311,3.17007,2.69496,0.00960126,0.00960126,0.00960126
4,2699.27,2.23732,3.05036,2.47465,0.20895,0.31057,0.16469,0.05809,2.12939,3.14169,2.60018,0.009406,0.009406,0.009406
5,3194.49,2.15335,2.8693,2.37394,0.09039,0.16581,0.04447,0.0145,2.42869,4.16033,2.82568,0.009208,0.009208,0.009208
6,3717.24,2.11965,2.772,2.3335,0.14051,0.47177,0.17953,0.05513,2.16662,3.03089,2.54192,0.00901,0.00901,0.00901
7,4220.66,2.0794,2.69472,2.31249,0.27473,0.30666,0.19702,0.06819,2.05813,2.88811,2.53487,0.008812,0.008812,0.008812
8,4729.47,2.03775,2.6695,2.26036,0.32092,0.30737,0.23517,0.0853,2.054,2.62402,2.46988,0.008614,0.008614,0.008614
9,5236.6,2.03781,2.65135,2.25268,0.34314,0.18423,0.17993,0.06255,2.15065,2.86838,2.52416,0.008416,0.008416,0.008416
10,5756.42,2.00814,2.60043,2.24106,0.29255,0.28361,0.20594,0.07678,2.13909,2.69029,2.51782,0.008218,0.008218,0.008218
11,6270.47,2.00378,2.59451,2.22169,0.41333,0.26797,0.24907,0.086,2.13179,2.67357,2.52008,0.00802,0.00802,0.00802
12,6770.21,1.98531,2.57519,2.21886,0.37248,0.37166,0.29956,0.10167,2.03732,2.50074,2.43935,0.007822,0.007822,0.007822
13,7267.62,1.97538,2.55069,2.20327,0.38122,0.34446,0.29223,0.10715,2.02134,2.57936,2.44027,0.007624,0.007624,0.007624
14,7762.46,1.97268,2.52805,2.18779,0.33011,0.32444,0.24941,0.09153,2.05988,2.52087,2.3972,0.007426,0.007426,0.007426
15,8259.29,1.96636,2.49209,2.18106,0.33678,0.35113,0.27915,0.1082,2.01906,2.42046,2.40758,0.007228,0.007228,0.007228
16,8755.1,1.93707,2.48747,2.16286,0.42586,0.35944,0.32443,0.12186,1.98808,2.36153,2.37592,0.00703,0.00703,0.00703
17,1043.49,1.93975,2.46553,2.15547,0.39548,0.35678,0.30762,0.11737,1.95244,2.3869,2.3767,0.006832,0.006832,0.006832
18,1543.24,1.94331,2.46364,2.14985,0.38086,0.32495,0.28378,0.10818,1.99008,2.46762,2.37481,0.006634,0.006634,0.006634
19,2045.93,1.92221,2.42869,2.1383,0.39051,0.36345,0.312,0.12148,1.97013,2.37835,2.37376,0.006436,0.006436,0.006436
20,2552.74,1.9274,2.51221,2.13793,0.39191,0.37012,0.31429,0.11972,1.9583,2.33035,2.31596,0.006238,0.006238,0.006238
21,3054.56,1.90703,2.43286,2.11588,0.39839,0.37423,0.33366,0.12746,1.97749,2.32178,2.33749,0.00604,0.00604,0.00604
22,3558.18,1.92202,2.4061,2.12466,0.39439,0.38145,0.3305,0.12918,1.93755,2.29315,2.33106,0.005842,0.005842,0.005842
23,4070.84,1.90749,2.39506,2.13007,0.40529,0.40041,0.34039,0.13224,1.93429,2.30245,2.32341,0.005644,0.005644,0.005644
24,4586.5,1.89147,2.37882,2.10475,0.39617,0.39682,0.33227,0.1306,1.96092,2.31375,2.33933,0.005446,0.005446,0.005446
25,5098.51,1.90814,2.39255,2.11657,0.40509,0.39168,0.33658,0.13182,1.96605,2.30068,2.32342,0.005248,0.005248,0.005248
26,5617.72,1.87437,2.37069,2.10218,0.38992,0.39476,0.33402,0.132,1.94139,2.27623,2.31139,0.00505,0.00505,0.00505
27,6111.87,1.88556,2.36806,2.10178,0.41512,0.3935,0.35285,0.13722,1.93416,2.26683,2.31436,0.004852,0.004852,0.004852
28,6608.48,1.86204,2.36695,2.08796,0.3957,0.40092,0.33974,0.13587,1.92989,2.27765,2.29891,0.004654,0.004654,0.004654
29,7104.53,1.86842,2.33661,2.08593,0.3921,0.40606,0.34872,0.13622,1.94502,2.25536,2.31043,0.004456,0.004456,0.004456
30,7601.52,1.86257,2.34751,2.07641,0.40948,0.40503,0.34848,0.13562,1.93053,2.26067,2.29367,0.004258,0.004258,0.004258
31,8093.23,1.86189,2.31195,2.0721,0.39468,0.40534,0.34403,0.13726,1.93872,2.2507,2.29397,0.00406,0.00406,0.00406
32,8589.37,1.84028,2.30933,2.05916,0.40724,0.404,0.35549,0.14131,1.94241,2.23003,2.29156,0.003862,0.003862,0.003862
33,9085.63,1.86514,2.3318,2.08138,0.39898,0.38963,0.34595,0.13848,1.93383,2.24119,2.29679,0.003664,0.003664,0.003664
34,9581.7,1.8491,2.32597,2.05976,0.38734,0.40667,0.34086,0.13681,1.92813,2.24097,2.28531,0.003466,0.003466,0.003466
35,10074.8,1.84011,2.29749,2.05716,0.39128,0.40092,0.33717,0.13615,1.92725,2.24792,2.29419,0.003268,0.003268,0.003268
36,10571,1.83595,2.32977,2.05207,0.38607,0.40811,0.34597,0.14009,1.92122,2.23482,2.27884,0.00307,0.00307,0.00307
37,11066.8,1.83325,2.27868,2.04763,0.38651,0.40914,0.34295,0.1383,1.92914,2.22217,2.28046,0.002872,0.002872,0.002872
38,11566.2,1.83691,2.26056,2.04302,0.39224,0.40657,0.34665,0.14081,1.93012,2.22668,2.284,0.002674,0.002674,0.002674
39,12062.1,1.82485,2.26893,2.03017,0.39268,0.40092,0.34563,0.13905,1.92937,2.22352,2.2796,0.002476,0.002476,0.002476
40,12556.6,1.81501,2.27655,2.02591,0.39096,0.40598,0.34474,0.13802,1.92647,2.21836,2.27725,0.002278,0.002278,0.002278
41,13032.6,1.86339,2.35595,2.17102,0.39309,0.40298,0.34277,0.13886,1.92521,2.21222,2.27582,0.00208,0.00208,0.00208
42,13506.7,1.84342,2.30856,2.14777,0.38624,0.40316,0.34096,0.1392,1.9201,2.21325,2.26866,0.001882,0.001882,0.001882
43,13991.2,1.84088,2.29508,2.15403,0.38594,0.40708,0.34716,0.14084,1.91312,2.21119,2.2653,0.001684,0.001684,0.001684
44,14467,1.8352,2.27461,2.14021,0.39003,0.41119,0.34854,0.14242,1.91136,2.20507,2.26019,0.001486,0.001486,0.001486
45,14945,1.81604,2.26768,2.12749,0.392,0.41119,0.34859,0.14086,1.9103,2.20431,2.2594,0.001288,0.001288,0.001288
46,15421.7,1.82202,2.2687,2.12842,0.3957,0.40657,0.35093,0.14224,1.90891,2.20434,2.25712,0.00109,0.00109,0.00109
47,15894.4,1.80801,2.23998,2.1052,0.39865,0.40708,0.35155,0.1425,1.91123,2.19794,2.25724,0.000892,0.000892,0.000892
48,16371.9,1.80738,2.24052,2.10665,0.39966,0.41222,0.35335,0.14356,1.91241,2.19314,2.2562,0.000694,0.000694,0.000694
49,16847.6,1.78831,2.20051,2.09688,0.4004,0.40965,0.3543,0.1444,1.91313,2.19014,2.25572,0.000496,0.000496,0.000496
50,17328.8,1.78488,2.21969,2.11025,0.4012,0.4117,0.35437,0.14387,1.91369,2.18938,2.25649,0.000298,0.000298,0.000298
