epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.739,2.05486,4.41712,1.87123,0.26873,0.26027,0.16635,0.05291,2.17479,2.98538,2.00106,0.00333048,0.00333048,0.00333048
2,379.499,2.04673,2.96726,1.85411,0.13774,0.25821,0.11556,0.03302,2.34355,3.10654,2.10135,0.00653187,0.00653187,0.00653187
3,576.998,2.15822,2.8807,1.97155,0.22406,0.26129,0.14454,0.04943,2.1952,2.8863,2.27807,0.00960126,0.00960126,0.00960126
4,765.628,2.1679,2.79258,1.99057,0.24645,0.23255,0.14697,0.04554,2.33452,2.85558,2.10632,0.009406,0.009406,0.009406
5,940.716,2.08473,2.7171,1.91878,0.3723,0.29825,0.24361,0.08554,2.17982,2.54893,1.97225,0.009208,0.009208,0.009208
6,1114.92,2.0604,2.65166,1.89442,0.27381,0.24641,0.16645,0.05898,2.21017,2.85017,2.08225,0.00901,0.00901,0.00901
7,1292.11,2.04696,2.59012,1.86392,0.27335,0.39066,0.22611,0.08081,2.07574,2.76796,1.94863,0.008812,0.008812,0.008812
8,1476.1,1.99995,2.54953,1.84069,0.37026,0.3306,0.28287,0.106,2.09157,2.42005,1.92216,0.008614,0.008614,0.008614
9,1658.52,1.97648,2.48321,1.818,0.34205,0.37885,0.2805,0.10093,2.03586,2.44034,1.93185,0.008416,0.008416,0.008416
10,1841.51,1.9825,2.48556,1.83284,0.34492,0.28029,0.24871,0.09134,2.12971,2.5096,1.92294,0.008218,0.008218,0.008218
11,2372.23,1.95964,2.43397,1.81112,0.42542,0.37372,0.32921,0.1227,2.0533,2.35746,1.89566,0.00802,0.00802,0.00802
12,3295.96,1.93565,2.43072,1.78575,0.38513,0.33778,0.29773,0.11178,2.03345,2.46261,1.94508,0.007822,0.007822,0.007822
13,4218.28,1.94171,2.42881,1.79977,0.39243,0.38296,0.32067,0.12398,1.99986,2.33697,1.8575,0.007624,0.007624,0.007624
14,5140.81,1.91818,2.40013,1.77252,0.3802,0.37474,0.31001,0.12122,1.96496,2.31263,1.88892,0.007426,0.007426,0.007426
15,6065.1,1.91328,2.36368,1.75641,0.41999,0.37358,0.34479,0.13386,1.9996,2.27283,1.85827,0.007228,0.007228,0.007228
16,6990.72,1.90495,2.34176,1.75794,0.37591,0.36037,0.30124,0.11765,2.05305,2.30255,1.84294,0.00703,0.00703,0.00703
17,7915.28,1.88866,2.37969,1.74854,0.41941,0.38122,0.3362,0.13092,1.99879,2.24098,1.822,0.006832,0.006832,0.006832
18,8839.7,1.88424,2.33372,1.75171,0.40608,0.40349,0.35076,0.13547,1.99601,2.2195,1.80905,0.006634,0.006634,0.006634
19,9763.79,1.88862,2.3487,1.7355,0.42881,0.41352,0.36491,0.1381,1.97839,2.22872,1.81351,0.006436,0.006436,0.006436
20,10689.1,1.8707,2.31335,1.72766,0.37216,0.40092,0.32506,0.127,1.9567,2.30461,1.83198,0.006238,0.006238,0.006238
21,899.735,1.86046,2.34607,1.71891,0.38527,0.41632,0.34526,0.1355,1.95371,2.2347,1.80737,0.00604,0.00604,0.00604
22,1796.03,1.85694,2.32432,1.72446,0.40102,0.39271,0.33808,0.13496,1.94969,2.22608,1.81323,0.005842,0.005842,0.005842
